Tue, 05 Sep 2023, 12:09 AM,White Tacoma,Caution
Tue,05 Sep 2023,12:09 AM,Black Runner,Good
Tue,05 Sep 2023,12:09 AM,White Tacoma,Caution
Tue,05 Sep 2023,12:09 AM,Pathfinder,GoodTue,05 Sep 2023,12:09 AM,White Tacoma,Good
Tue,05 Sep 2023,12:09 AM,F-250,Good
Tue,05 Sep 2023,12:37 AM,White Tacoma,Good
Tue,05 Sep 2023,12:38 AM,White Tacoma,Down
Tue,05 Sep 2023,08:05 AM,White Tacoma,Caution
Tue,05 Sep 2023,08:06 AM,White Tacoma,Down
Tue,05 Sep 2023,08:06 AM,White Tacoma,Down
Tue,05 Sep 2023,08:06 AM,Black Runner,Down
Tue,05 Sep 2023,08:07 AM,HB Chevy,Good
Tue,05 Sep 2023,08:07 AM,F-250,Down
Tue,05 Sep 2023,08:07 AM,Old Hiace,Good
Tue,05 Sep 2023,08:07 AM,New Hiace,Good
Tue,05 Sep 2023,08:07 AM,Sienna,Down
Tue,05 Sep 2023,08:07 AM,Explorer,Good
Tue,05 Sep 2023,08:07 AM,Pathfinder,Down
Tue,05 Sep 2023,08:07 AM,Porquera,Down
Tue,05 Sep 2023,08:07 AM,Blue Runner,Caution
Tue,05 Sep 2023,08:07 AM,Porquera,Down
Tue,05 Sep 2023,08:07 AM,Blue Runner,Caution
Tue,05 Sep 2023,08:07 AM,Taurus,Good
Tue,05 Sep 2023,08:07 AM,Padre Tacoma,Good
Tue,05 Sep 2023,08:07 AM,NP300,Down
Thu,07 Sep 2023,02:16 AM,F-250,Good
Thu,07 Sep 2023,04:04 PM,White Tacoma,Caution
Mon,11 Sep 2023,10:36 PM,White Tacoma,Down
Fri,15 Sep 2023,10:13 PM,Black Runner,Good
Sat,16 Sep 2023,01:51 AM,Black Runner,Down
